Episode,Reward,Timer,Input_PosX,Input_PosY,Input_Angle,Input_DistNorm,Output_Accelerate,Output_TurnLeft,Output_TurnRight,Output_Dash,Output_Skill,Target_Accelerate,Target_TurnLeft,Target_TurnRight,Target_Dash,Target_Skill,Loss
2,0.22,3.90,-0.9341,0.3529,-176.4245,0.8584,-0.2536,10.7467,-11.4598,-11.7882,-5.1567,-0.2536,14.1945,-11.4598,-11.7882,-5.1567,2.377404
2,0.16,4.00,-0.9618,0.3554,163.4550,0.8722,2.7703,-6.0176,14.0395,13.1979,6.4485,2.7703,-6.0176,10.7826,13.1979,6.4485,2.121523
2,0.18,4.10,-0.9822,0.3572,-176.6311,0.8824,0.2065,11.0713,-11.1524,-11.4227,-4.4040,0.2065,13.8132,-11.1524,-11.4227,-4.4040,1.503602
2,0.12,4.20,-0.9971,0.3586,163.3070,0.8898,2.0304,-6.5966,13.7491,12.3835,6.0698,2.0304,-6.5966,11.4022,12.3835,6.0698,1.101614
2,0.18,4.30,-1.0081,0.3596,-176.7378,0.8953,0.6599,11.1444,-11.0994,-10.5005,-3.8213,0.6599,11.1444,-11.0994,11.2152,-3.8213,94.314380
2,0.10,4.40,-1.0161,0.3603,-156.7703,0.8993,1.0771,11.4000,-11.1621,-10.9854,-3.6511,1.0771,13.7515,-11.1621,-10.9854,-3.6511,1.105848
2,0.16,4.50,-1.0230,0.3609,179.2023,0.9027,1.7685,-6.8556,13.7953,12.8251,5.1756,1.7685,-6.8556,11.8145,12.8251,5.1756,0.784711
2,0.09,4.60,-1.0271,0.3613,-160.8142,0.9047,1.2934,11.9652,-11.1739,-10.3599,-3.0581,1.2934,13.7632,-11.1739,-10.3599,-3.0581,0.646548
2,0.15,4.70,-1.0301,0.3616,179.1741,0.9062,2.1047,-6.0206,13.7248,12.1971,4.9160,2.1047,-6.0206,11.1443,12.1971,4.9160,1.331777
2,0.23,4.80,-1.0323,0.3618,-160.8347,0.9073,1.2265,11.4814,-11.0574,-10.7078,-3.0581,1.2265,11.4814,-11.0574,-10.7078,0.2280,2.159725
2,0.16,4.90,-1.0341,0.3620,-136.8421,0.9082,1.4618,11.7228,-11.0671,-10.5725,-3.0023,1.4618,0.1598,-11.0671,-10.5725,-3.0023,26.740570
2,0.09,5.00,-1.0351,0.3620,-156.8457,0.9087,1.4987,11.7421,-11.0269,-9.8026,-2.9473,1.4987,0.0931,-11.0269,-9.8026,-2.9473,27.139580
2,0.14,5.10,-1.0351,0.3620,-176.8458,0.9087,1.3558,12.0120,-11.0551,-10.1497,-2.5791,1.3558,12.0120,-11.0551,-10.1497,0.1388,1.477336
2,0.09,5.20,-1.0351,0.3620,163.1543,0.9087,2.4515,-6.6750,13.7139,12.4334,4.1536,2.4515,-6.6750,0.0931,12.4334,4.1536,37.105190
2,0.14,5.30,-1.0351,0.3620,-176.8458,0.9087,1.3719,12.1187,-10.8948,-10.5708,-2.1844,1.3719,0.1388,-10.8948,-10.5708,-2.1844,28.703880
