Episode,Step,PosX,PosY,Angle,DistN,AccProb,TurnLeftProb,TurnRightProb,DashProb,SkillProb,Action,Reward,Entropy,OriginalEntropy,PolicyLoss,ValueLoss,TotalLoss,Advantage,ClippedRatio,Return
0,75,0.44,0.42,171.39,0.35,0.2067,0.2002,0.2091,0.1633,0.1906,1,2.2958,1.5870,1.5870,-2.2951,5.2674,-0.7466,2.2951,1.0075,2.3612
0,76,0.43,0.42,143.39,0.36,0.2054,0.2007,0.2098,0.1636,0.1905,2,2.6102,1.5871,1.5871,-2.6096,6.8098,-0.5984,2.6096,0.9709,2.6720
0,77,0.43,0.42,119.39,0.36,0.2039,0.2015,0.2105,0.1639,0.1903,0,2.8832,1.5871,1.5871,-2.8826,8.3094,-0.4215,2.8826,1.0489,2.9408
0,78,0.00,0.42,0.00,0.74,0.1971,0.1922,0.1896,0.1932,0.1979,4,3.0216,1.5906,1.5906,-3.0216,9.1300,-0.3144,3.0216,0.9365,3.0232
0,79,0.00,0.42,0.00,0.74,0.1971,0.1922,0.1896,0.1932,0.1979,4,3.0216,1.5906,1.5906,-3.0216,9.1300,-0.3144,3.0216,1.0041,3.0232
0,80,0.00,0.42,0.00,0.74,0.1971,0.1922,0.1896,0.1932,0.1979,0,3.0216,1.5906,1.5906,-3.0216,9.1300,-0.3144,3.0216,1.0000,3.0232
0,81,0.00,0.42,0.00,0.70,0.1971,0.1922,0.1896,0.1932,0.1980,1,3.1061,1.5906,1.5906,-3.1061,9.6476,-0.2436,3.1061,0.9957,3.1076
0,82,0.00,0.42,0.00,0.66,0.1971,0.1922,0.1896,0.1932,0.1980,1,3.1810,1.5906,1.5906,-3.1810,10.1188,-0.1772,3.1810,0.9753,3.1825
0,83,0.00,0.42,0.00,0.63,0.1971,0.1922,0.1896,0.1932,0.1980,0,3.2360,1.5906,1.5906,-3.2360,10.4717,-0.1263,3.2360,1.0000,3.2374
0,84,0.00,0.42,0.00,0.59,0.1970,0.1922,0.1896,0.1931,0.1980,3,3.3205,1.5906,1.5906,-3.3205,11.0255,-0.0446,3.3205,1.0249,3.3218
0,85,0.00,0.42,0.00,0.55,0.1970,0.1923,0.1896,0.1931,0.1981,4,3.3954,1.5906,1.5906,-3.3954,11.5288,0.0314,3.3954,0.9803,3.3967
0,86,0.00,0.42,0.00,0.52,0.1970,0.1923,0.1896,0.1931,0.1981,3,3.4595,1.5906,1.5906,-3.4595,11.9681,0.0991,3.4595,1.0256,3.4607
0,87,0.00,0.42,0.00,0.50,0.1970,0.1923,0.1896,0.1931,0.1981,4,2.9975,1.5906,1.5906,-2.9974,8.9846,-0.3339,2.9974,0.9751,2.9987
0,88,0.00,0.42,0.00,0.49,0.1970,0.1923,0.1896,0.1931,0.1981,0,3.0253,1.5906,1.5906,-3.0253,9.1523,-0.3114,3.0253,1.0257,3.0265
0,89,0.00,0.42,0.00,0.45,0.1969,0.1923,0.1895,0.1931,0.1981,4,3.1098,1.5906,1.5906,-3.1098,9.6706,-0.2404,3.1098,0.9941,3.1109
0,90,0.00,0.42,0.00,0.40,0.1969,0.1923,0.1895,0.1931,0.1981,2,3.1971,1.5906,1.5906,-3.1971,10.2214,-0.1625,3.1971,1.0062,3.1982
0,91,0.03,0.42,0.00,0.38,0.1969,0.1923,0.1895,0.1931,0.1982,2,3.2488,1.5906,1.5906,-3.2488,10.5546,-0.1142,3.2488,0.9565,3.2500
0,92,0.07,0.42,0.00,0.36,0.1969,0.1922,0.1895,0.1932,0.1982,0,3.2867,1.5906,1.5906,-3.2867,10.8026,-0.0778,3.2867,0.9999,3.2880
0,93,0.15,0.42,0.00,0.31,0.1969,0.1922,0.1894,0.1932,0.1983,3,3.3712,1.5906,1.5906,-3.3712,11.3650,0.0065,3.3712,1.0389,3.3728
0,94,0.30,0.42,0.00,0.24,0.1968,0.1921,0.1893,0.1933,0.1985,2,4.0191,1.5906,1.5906,-4.0190,16.1527,0.7949,4.0190,0.9821,4.0211
