Episode,Reward,Timer,Input_PosX,Input_PosY,Input_Angle,Input_DistNorm,Output_Accelerate,Output_TurnLeft,Output_TurnRight,Target_Accelerate,Target_TurnLeft,Target_TurnRight,Loss
1,1.93,4.00,0.6881,0.2241,-69.2444,0.2298,-87.9710,-93.4442,80.8445,-87.9710,-93.4442,81.9678,0.420629
1,2.03,4.10,0.6902,0.2221,-71.7510,0.2345,-87.0412,-93.8681,82.7563,-87.0412,-93.8681,83.9558,0.479577
1,2.12,4.20,0.6904,0.2219,-35.8394,0.2367,-86.6655,-94.2652,72.2824,-86.6655,-94.2652,119.5137,743.599800
1,2.28,4.30,0.6904,0.2219,-0.0626,0.2380,118.9793,69.4234,113.9438,118.7003,69.4234,113.9438,0.025941
1,2.32,4.40,0.7887,0.3474,-1.3899,0.1584,117.2007,67.7167,117.1164,117.2007,67.7167,119.7141,2.249312
1,2.23,4.50,0.8432,0.4168,18.3456,0.1143,120.0287,117.5439,-9.5088,91.6173,117.5439,-9.5088,269.068900
1,2.08,4.60,0.8920,0.4130,-21.4743,0.1573,-88.7199,-95.4451,95.4702,96.5331,-95.4451,95.4702,11439.550000
1,1.12,4.70,0.9087,0.4013,-48.1045,0.1925,-64.3108,-76.7037,102.8953,-64.3108,-76.7037,120.8134,107.019900
1,1.27,4.80,-0.6971,0.4245,0.0000,0.7392,121.0229,74.4447,118.9378,120.9669,74.4447,118.9378,0.001045
1,1.35,4.90,-0.5509,0.4245,0.0000,0.6661,127.7259,77.1704,109.7401,127.6421,77.1704,109.7401,0.002339
1,1.50,5.00,-0.4664,0.4245,0.0000,0.6238,128.9698,79.9890,106.0919,129.0641,79.9890,106.0919,0.002966
1,1.66,5.10,-0.3202,0.4245,0.0000,0.5507,128.6779,81.5011,107.4769,129.3258,81.5011,107.4769,0.139893
1,1.80,5.20,-0.1608,0.4245,0.0000,0.4710,132.3298,83.9042,107.4494,132.7738,83.9042,107.4494,0.065730
1,1.95,5.30,-0.0146,0.4245,0.0000,0.3979,134.6883,86.6265,103.6551,135.0894,86.6265,103.6551,0.053625
1,2.05,5.40,0.1316,0.4245,0.0000,0.3248,139.5510,93.7752,87.6539,139.8192,93.7752,87.6539,0.023986
1,2.20,5.50,0.2330,0.4245,0.0000,0.2741,142.3760,97.9051,80.4378,143.1000,97.9051,80.4378,0.174740
1,2.36,5.60,0.3792,0.4245,0.0000,0.2010,141.7195,96.0190,87.1030,142.2217,96.0190,87.1030,0.084067
1,2.26,5.70,0.5386,0.4245,0.0000,0.1213,139.1941,93.4263,93.4199,100.1763,93.4263,93.4199,507.464300
1,1.99,5.80,0.5653,0.4245,-26.3561,0.1354,-39.2464,-74.3770,99.7334,-39.2464,-74.3770,100.7248,0.327585
1,1.80,5.90,0.5342,0.4245,-77.8319,0.1976,-47.4186,-77.5533,91.1326,-47.4186,-77.5533,92.0187,0.261720
1,1.58,6.00,0.5114,0.4245,-113.7766,0.2433,-52.5496,-77.9117,101.5709,-52.5496,-77.9117,102.1350,0.106070
1,1.45,6.10,0.4845,0.4245,-153.3823,0.2971,-54.0540,-77.9117,104.4537,-54.0540,-77.9117,104.8604,0.055116
1,1.42,6.20,0.4678,0.4245,-175.7148,0.3304,-41.8839,-80.9288,104.8812,-41.8839,-80.9288,108.8635,5.286237
1,1.12,6.30,0.4595,0.4245,174.1675,0.3470,97.0861,108.8432,-13.8595,97.0861,135.4043,-13.8595,235.163300
1,1.27,6.40,-0.6971,0.4245,0.0000,0.7392,134.4092,92.5905,111.4562,133.9445,92.5905,111.4562,0.071975
1,1.35,6.50,-0.5509,0.4245,0.0000,0.6661,130.5350,91.5225,113.9980,130.4711,91.5225,113.9980,0.001359
1,1.45,6.60,-0.4664,0.4245,0.0000,0.6238,128.8505,90.6200,116.7716,129.0879,90.6200,116.7716,0.018790
1,1.60,6.70,-0.3651,0.4245,0.0000,0.5732,128.5492,90.7435,119.5840,129.1073,90.7435,119.5840,0.103827
1,1.68,6.80,-0.2188,0.4245,0.0000,0.5001,129.1787,93.3343,118.8956,129.7171,93.3343,118.8956,0.096627
1,1.77,6.90,-0.1344,0.4245,0.0000,0.4578,131.0256,96.4560,116.0749,131.6561,96.4560,116.0749,0.132520
1,1.85,7.00,-0.0499,0.4245,0.0000,0.4156,131.4592,96.6339,116.0339,132.2155,96.6339,116.0339,0.190664
1,1.95,7.10,0.0346,0.4245,0.0000,0.3733,131.7892,94.8084,117.2129,132.6309,94.8084,117.2129,0.236105
1,2.10,7.20,0.1360,0.4245,0.0000,0.3226,128.4002,93.5042,121.8618,129.5699,93.5042,121.8618,0.456084
1,2.25,7.30,0.2822,0.4245,0.0000,0.2495,126.8280,94.2603,122.0952,128.1071,94.2603,122.0952,0.545306
1,2.32,7.40,0.4284,0.4245,0.0000,0.1764,131.0818,95.1998,120.4397,92.6375,95.1998,120.4397,492.656300
1,2.03,7.50,0.5636,0.4245,-13.6511,0.1209,-43.0586,-94.4201,99.9695,-43.0586,-94.4201,100.8125,0.236897
1,1.71,7.60,0.5249,0.4245,-68.9602,0.1871,-36.4137,-95.9492,94.1128,-36.4137,-95.9492,94.8806,0.196498
1,1.52,7.70,0.4793,0.4245,-129.9024,0.2651,-43.0036,-97.8863,102.2930,-43.0036,-97.8863,102.7870,0.081336
1,1.46,7.80,0.4511,0.4245,-164.2660,0.3134,-41.8479,-98.2252,93.4474,-41.8479,-98.2252,93.9724,0.091886
1,1.42,7.90,0.4423,0.4245,-174.1322,0.3284,-44.3875,-98.2814,89.4235,-44.3875,-98.2814,129.1444,525.917500
1,1.50,8.00,0.4320,0.4245,174.9967,0.3461,128.5372,129.0573,22.6201,128.5372,129.2683,22.6201,0.014836
1,1.60,8.10,0.4261,0.4245,138.9967,0.3562,128.3964,129.0466,12.6510,128.3964,129.3562,12.6510,0.031960
1,1.69,8.20,0.4224,0.4245,98.9967,0.3624,101.6590,101.5897,6.8233,101.6590,102.3369,6.8233,0.186129
1,1.78,8.30,0.4213,0.4245,62.9967,0.3652,71.9572,71.5451,3.4033,73.0162,71.5451,3.4033,0.373896
1,1.94,8.40,0.4673,0.3342,46.4947,0.3461,93.8047,72.8014,5.0403,94.8076,72.8014,5.0403,0.335228
1,2.08,8.50,0.5809,0.2422,20.6336,0.3009,99.9643,78.2911,7.5309,101.0414,78.2911,7.5309,0.386673
1,2.14,8.60,0.7401,0.2339,24.2019,0.2280,109.6881,96.3640,7.2605,110.7293,96.3640,7.2605,0.361397
1,2.21,8.70,0.8246,0.2346,29.2532,0.1903,114.3386,100.5340,12.8098,115.4077,100.5340,12.8098,0.381018
1,1.12,8.80,0.9708,0.2364,44.8354,0.1315,105.0061,103.3136,7.2957,126.3428,103.3136,7.2957,151.751200
1,1.25,8.90,-0.6971,0.4245,0.0000,0.7392,124.9203,95.9438,109.6067,123.1873,95.9438,109.6067,1.001098
1,1.34,9.00,-0.5650,0.4245,0.0000,0.6731,117.8393,90.4225,112.5307,117.5361,90.4225,112.5307,0.030657
1,1.48,9.10,-0.4805,0.4245,0.0000,0.6309,116.6814,89.2101,112.8262,116.6126,89.2101,112.8262,0.001575
1,1.64,9.20,-0.3343,0.4245,0.0000,0.5578,115.0227,88.3814,115.0256,115.5855,88.3814,115.0256,0.105575
1,1.68,9.30,-0.1748,0.4245,0.0000,0.4780,115.0373,88.1065,116.7064,115.0373,88.1065,117.8404,0.428666
1,1.81,9.40,-0.0866,0.4245,20.0000,0.4339,117.9287,112.1945,19.2623,118.5616,112.1945,19.2623,0.133555
1,1.93,9.50,0.0632,0.3700,24.3422,0.3601,112.3272,114.0652,24.1390,114.8507,114.0652,24.1390,2.122643
1,2.07,9.60,0.2006,0.3200,30.2055,0.2950,115.5785,114.5952,21.8331,115.5785,116.3862,21.8331,1.069173
1,2.23,9.70,0.2888,0.2879,5.3030,0.2555,115.3828,114.4693,20.2009,116.4829,114.4693,20.2009,0.403433
1,2.36,9.80,0.4457,0.3161,7.6977,0.1763,111.5690,114.2420,15.4496,115.4779,114.2420,15.4496,5.093359
1,2.20,9.90,0.5896,0.3421,13.0844,0.1043,116.3045,114.8213,21.5050,116.3045,105.9930,21.5050,25.979630
2,2.20,0.00,0.5896,0.3421,13.0844,0.1043,116.3804,115.1126,27.2815,116.3804,101.5557,27.2815,61.262770
2,2.02,0.10,0.5991,0.2976,-48.5798,0.1953,-16.7195,-76.9049,103.9020,-16.7195,104.8867,103.9020,11016.060000
2,1.98,0.20,0.5994,0.2910,-56.8738,0.2092,-10.3987,-76.9660,96.4289,-10.3987,-76.9660,97.4414,0.341748
2,1.95,0.30,0.5997,0.2848,-64.2293,0.2224,-10.8880,-77.3701,95.6667,-10.8880,-77.3701,96.6590,0.328206
2,1.94,0.40,0.5999,0.2809,-68.3777,0.2306,-3.0155,-76.7892,99.2708,-3.0155,-76.7892,100.2136,0.296287
2,2.03,0.50,0.6000,0.2795,-70.3770,0.2345,-3.7328,-77.0184,103.8471,-3.7328,-77.0184,104.8399,0.328524
2,2.10,0.60,0.6000,0.2795,-34.4290,0.2366,-7.1547,-76.5980,102.8848,-7.1547,-76.5980,106.2831,3.849447
2,2.10,0.70,0.6000,0.2795,-10.4504,0.2374,-1.7058,-67.0986,101.1899,-1.7058,-67.0986,119.0729,106.600900
2,2.18,0.80,0.6000,0.2795,9.5416,0.2377,111.3694,104.0061,30.8400,112.4341,104.0061,30.8400,0.377844
2,2.31,0.90,0.6778,0.3125,10.7405,0.1962,108.1948,105.2727,34.2015,109.4182,105.2727,34.2015,0.498856
2,2.24,1.00,0.8115,0.3716,16.0591,0.1251,113.7341,106.7402,33.8381,104.8480,106.7402,33.8381,26.320700
2,2.15,1.10,0.8732,0.3720,-18.4900,0.1520,-0.8456,-70.7925,104.4086,-0.8456,-70.7925,105.5125,0.406230
1,1.12,1.20,0.8824,0.3630,-36.5835,0.1752,-3.9800,-72.2959,102.0668,-3.9800,-72.2959,121.5216,126.162400
1,1.21,1.30,-0.6971,0.4245,0.0000,0.7392,121.9064,101.2572,118.2063,121.4651,101.2572,118.2063,0.064899
1,1.37,1.40,-0.6127,0.4245,0.0000,0.6970,121.5858,101.6014,119.2962,121.0790,101.6014,119.2962,0.085622
